Gridworld_ID,Algorithm,Runtime_Seconds,Expanded_Nodes,Success
48,AdaptiveAStar,0.05842658301116899,651,True
48,HigherG_RepeatedAStar,0.15741241700015962,4307,True
48,LowerG_RepeatedAStar,0.09291354101151228,4307,True
48,RepeatedBackwardsAStar,0.07688320899615064,1065,True
48,RepeatedForwardAStar,0.00573337497189641,513,True
49,AdaptiveAStar,0.6719874159898609,26207,True
49,HigherG_RepeatedAStar,1.7486785000073723,57907,True
49,LowerG_RepeatedAStar,0.8672488330048509,57907,True
49,RepeatedBackwardsAStar,0.7300387499853969,43531,True
49,RepeatedForwardAStar,0.02119783399393782,1806,True
